,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
620,Michael Dal Colle,24,NYI,LW,26,1,3,4,1,4,1,0,0,0,3,0,0,19,5.3,41,309:32,11:54,1,3,25.0,9,32,4,5,,dalcomi01
621,Jason Demers,32,ARI,D,41,0,4,4,-4,26,0,0,0,0,4,0,0,44,0.0,95,706:46,17:14,0,0,,30,69,10,14,,demerja01
622,Grigori Denisenko,20,FLA,LW,7,0,4,4,1,2,0,0,0,0,4,0,0,6,0.0,11,83:35,11:56,1,1,50.0,2,15,3,0,,denisgr01
623,Liam Foudy,20,CBJ,C,24,0,4,4,0,6,0,0,0,0,4,0,0,40,0.0,63,302:14,12:36,2,8,20.0,5,13,6,5,,foudyli01
624,Tyler Graovac,27,VAN,C,14,3,1,4,-3,6,2,1,0,0,1,0,0,17,17.6,26,136:09,9:44,42,50,45.7,5,13,6,3,,graovty01
625,Libor Hájek,22,NYR,D,44,2,2,4,2,10,2,0,0,1,2,0,0,33,6.1,56,671:56,15:16,0,0,,48,26,5,17,,hajekli01
626,Tristan Jarry,25,PIT,G,39,0,4,4,0,8,0,0,0,0,4,0,0,0,,1,2185:18,56:02,0,0,,0,0,0,16,,jarrytr01
627,Caleb Jones,23,EDM,D,33,0,4,4,-7,6,0,0,0,0,4,0,0,23,0.0,55,449:02,13:36,0,0,,35,27,9,35,,jonesca01
628,Zachary Jones,20,NYR,D,10,0,4,4,-2,2,0,0,0,0,3,1,0,12,0.0,23,149:50,14:59,0,0,,8,8,1,10,,jonesza01
629,Vitali Kravtsov,21,NYR,RW,20,2,2,4,-6,4,2,0,0,0,2,0,0,23,8.7,42,247:56,12:24,0,2,0.0,6,7,7,13,,kravtvi01
630,Ryan Lomberg,26,FLA,LW,34,2,2,4,-2,67,2,0,0,0,2,0,0,47,4.3,68,330:25,9:43,0,1,0.0,10,90,8,2,,lombery01
631,Olli Määttä,26,LAK,D,41,0,4,4,-8,6,0,0,0,0,4,0,0,43,0.0,78,673:54,16:26,0,0,,53,41,4,23,,maattol01
632,Kurtis MacDermid,26,LAK,D,28,2,2,4,-14,36,2,0,0,0,2,0,0,16,12.5,42,373:56,13:21,0,0,,35,46,2,17,,macdeku01
633,Josh Mahura,22,ANA,D,13,1,3,4,0,4,1,0,0,0,3,0,0,14,7.1,34,206:40,15:54,0,0,,9,10,1,9,,mahurjo01
634,Kevan Miller,33,BOS,D,28,1,3,4,-1,20,1,0,0,0,3,0,0,27,3.7,66,533:49,19:04,0,0,,37,64,6,12,,milleke03
635,Nikita Nesterov,27,CGY,D,38,0,4,4,-10,20,0,0,0,0,4,0,0,33,0.0,91,602:45,15:52,0,0,,29,41,7,25,,nesteni01
636,Mark Pysyk,29,DAL,D,36,3,1,4,6,20,3,0,0,0,1,0,0,51,5.9,81,421:35,11:43,0,0,,16,36,6,14,,pysykma01
